Family	Tree
Southern Daly	(('Ngankikurungkurr [i-nam][w-ngg-ngk][a-2133][g-nang1259]','Ngan`gityemerri [i-nam][w-ngg-ngk][a-1363][g-nang1259]','Murrinh-patha [i-mwf][w-mpa][a-196][g-murr1258]')'Southern Daly [i-][w-][a-][g-]');
Northern Daly	(('Tyeraity [i-woa][w-tye][a-2730][g-tyar1236]','Malak-Malak [i-mpb][w-mlk][a-170][g-mull1237]')'Northern Daly [i-][w-][a-][g-]');
Iwaidjan	(('Iwaidja [i-ibd][w-iwa][a-1633][g-iwai1244]','Maung [i-mph][w-mau][a-181][g-maun1240]')'Iwaidjan [i-][w-][a-][g-]');
Bunuban	(('Bunuba [i-bck][w-bnb][a-976][g-buna1275]','Kuniyanti [i-gni][w-goo][a-149][g-goon1238]')'Bunuban [i-][w-][a-][g-]');
Nyulnyulan	(('Yawuru [i-ywr][w-ywr][a-2799][g-yawu1244]','Bardi [i-bcj][w-brd][a-975][g-bard1255]','Nyulnyul [i-nyv][w-nyu][a-485][g-nyul1247]','Warrwa [i-wwr][w-wrw][a-482][g-warr1258]','Nyigina [i-nyh][w-nyn][a-319][g-nyig1240]')'Nyulnyulan [i-][w-][a-][g-]');
Worrorran	(('Worora [i-wro][w-][a-2669][g-woro1255]','Gunin [i-gww][w-gnn][a-1584][g-kwin1241]','Ungarinjin [i-ung][w-ung][a-390][g-ngar1284]')'Worrorran [i-][w-][a-][g-]');
Djerragan	(('Kitja [i-gia][w-kij][a-1540][g-kitj1240]','Miriwung [i-mep][w-mir][a-183][g-miri1266]')'Djerragan [i-][w-][a-][g-]');
Maran	(('Mara [i-mec][w-mra][a-1965][g-mara1385]','Alawa [i-alh][w-alw][a-16][g-alaw1244]','Warndarang [i-wnd][w-wrn][a-405][g-wand1263]')'Maran [i-][w-][a-][g-]');
Gaagudju	(('Gaagudju [i-gbu][w-gaa][a-82][g-gaga1251]')'Gaagudju [i-][w-][a-][g-]');
Garrwan	(('Garrwa [i-wrk][w-][a-84][g-gara1269]')'Garrwan [i-][w-][a-][g-]');
Nakkaran	(('Nakkara [i-nck][w-nkk][a-198][g-naka1260]')'Nakkaran [i-][w-][a-][g-]');
Larakiya	(('Larakiya [i-lrg][w-lar][a-160][g-lara1258]')'Larakiya [i-][w-][a-][g-]');
Pomoan	(('Pomo {Central} [i-poo][w-pmc][a-2322][g-cent2138]','Pomo {Northern} [i-pej][w-pmn][a-2286][g-nort2966]','Kashaya [i-kju][w-ksh][a-1766][g-kash1280]','Pomo {Southeastern} [i-pom][w-pso][a-568][g-sout2982]','Pomo {Eastern} [i-peb][w-pme][a-72][g-east2545]')'Pomoan [i-][w-][a-][g-]');
Yuman	(('Quechan [i-yum][w-que][a-2794][g-quec1382]','Mojave [i-mov][w-moj][a-2060][g-moha1256]','Kiliwa [i-klb][w-klw][a-1773][g-kili1268]','Yavapai [i-yuf][w-hav-hlp-yav][a-1457][g-hava1248]','Hualapai [i-yuf][w-hav-hlp-yav][a-1456][g-hava1248]','Havasupai [i-yuf][w-hav-hlp-yav][a-1455][g-hava1248]','Tiipay {Jamul} [i-dih][w-die-tja][a-1261][g-kumi1248]','Diegueno {Mesa Grande} [i-dih][w-die-tja][a-1260][g-kumi1248]','Cocopa [i-coc][w-ccp][a-616][g-coco1261]',(((('Maricopa [i-mrc][w-mar][a-465][g-mari1440]')'River [i-][w-][a-][g-]',('Diegueno [i-dih][w-die-tja][a-63][g-kumi1248]')'California-Delta [i-][w-][a-][g-]')'Group3 [i-][w-][a-][g-]')'Group2 [i-][w-][a-][g-]')'Group1 [i-][w-][a-][g-]')'Yuman [i-][w-][a-][g-]');
Chimariko	(('Chimariko [i-cid][w-chi][a-51][g-chim1301]')'Chimariko [i-][w-][a-][g-]');
Karok	(('Karok [i-kyh][w-krk][a-125][g-karo1304]')'Karok [i-][w-][a-][g-]');
Shasta	(('Shasta [i-sht][w-shs][a-351][g-shas1239]')'Shasta [i-][w-][a-][g-]');
Washo	(('Washo [i-was][w-was][a-406][g-wash1253]')'Washo [i-][w-][a-][g-]');
Yokuts-Utian	(('Wikchamni [i-yok][w-wik-yok-ywl][a-1451][g-yoku1256]',(((('Mutsun [i-css][w-cos-mut][a-1257][g-sout2986]')'Southern Costanoan [i-][w-][a-][g-]','Costanoan [i-css][w-cos-mut][a-761][g-sout2986]')'Costanoan [i-][w-][a-][g-]',(('Miwok {Lake} [i-lmw][w-mwl][a-1902][g-lake1258]','Miwok {Bodega} [i-csi][w-mkb][a-1189][g-coas1301]')'Western Miwok [i-][w-][a-][g-]',('Miwok {Plains} [i-pmw][w-mwp][a-2313][g-plai1259]','Miwok {Northern Sierra} [i-nsq][w-mwn][a-2209][g-nort2968]','Miwok {Central Sierra} [i-csm][w-mcs][a-1191][g-cent2140]','Miwok {Southern Sierra} [i-skd][w-mss][a-356][g-sout2985]')'Eastern Miwok [i-][w-][a-][g-]')'Miwok [i-][w-][a-][g-]')'Miwok-Costanoan [i-][w-][a-][g-]')'Utian [i-][w-][a-][g-]',('Yokuts {Valley} [i-yok][w-wik-yok-ywl][a-2841][g-yoku1256]','Yokuts {Yaudanchi} [i-yok][w-wik-yok-ywl][a-1452][g-yoku1256]','Yokuts [i-yok][w-wik-yok-ywl][a-508][g-yoku1256]','Yokuts {Yawelmani} [i-yok][w-wik-yok-ywl][a-418][g-yoku1256]')'Yokutsan [i-][w-][a-][g-]')'Yokuts-Utian [i-][w-][a-][g-]');
Plateau Penutian	((('Yakima [i-yak][w-][a-3013][g-yaki1237]','Sahaptin {Northern} [i-waa][w-][a-2697][g-wall1238]','Sahaptin {Umatilla} [i-uma][w-smt][a-2666][g-umat1237]','Klamath [i-kla][w-klm][a-685][g-klam1254]','Nez Perce [i-nez][w-nez][a-208][g-nezp1238]','Sahaptin [i-tqn][w-][a-342][g-teni1238]')'Klamath-Sahaptian [i-][w-][a-][g-]')'Plateau Penutian [i-][w-][a-][g-]');
Maiduan	(('Nisenan [i-nsz][w-nsn][a-2210][g-nise1244]','Konkow [i-mjd][w-knw][a-1927][g-nort2951]','Maidu {Northeast} [i-nmu][w-mne][a-168][g-nort2952]')'Maiduan [i-][w-][a-][g-]');
Wintuan	(('Patwin [i-pwi][w-][a-1445][g-patw1248]','Wintu [i-wnw][w-][a-409][g-wint1259]')'Wintuan [i-][w-][a-][g-]');
Chinookan	(('Chinook {Lower} [i-chh][w-ckl][a-1137][g-chin1286]','Wishram [i-wac][w-cku][a-411][g-wasc1239]')'Chinookan [i-][w-][a-][g-]');
Chumashan	((('Barbareno [i-boi][w-cba][a-1048][g-barb1263]','Ineseno [i-inz][w-cin][a-113][g-ines1240]')'Southern Chumashan [i-][w-][a-][g-]')'Chumashan [i-][w-][a-][g-]');
Haida	(('Haida {Northern} [i-hdn][w-hno][a-1592][g-nort2938]','Haida [i-hax][w-][a-95][g-sout2956]')'Haida [i-][w-][a-][g-]');
Kutenai	(('Kutenai [i-kut][w-kut][a-150][g-kute1249]')'Kutenai [i-][w-][a-][g-]');
Salinan	(('Salinan [i-sln][w-sal][a-344][g-sali1253]')'Salinan [i-][w-][a-][g-]');
Timucua	(('Timucua [i-tjm][w-tmc][a-377][g-timu1245]')'Timucua [i-][w-][a-][g-]');
Zuni	(('Zuni [i-zun][w-zun][a-429][g-zuni1245]')'Zuni [i-][w-][a-][g-]');
Takelma-Kalapuyan	(('Kalapuya [i-kyl][w-klp][a-1698][g-kala1400]','Takelma [i-tkm][w-tkl][a-363][g-take1257]')'Takelma-Kalapuyan [i-][w-][a-][g-]');
Algic	((('Ojibwa {Central} [i-ojc][w-][a-3069][g-cent2136]','Massachusett [i-wam][w-mtt][a-2700][g-wamp1249]','Munsee [i-umu][w-mse][a-2668][g-muns1251]','Atikamekw [i-atj][w-ati][a-2551][g-atik1240]','Shawnee [i-sjw][w-shw][a-2435][g-shaw1249]','Potawatomi [i-pot][w-pot][a-2324][g-pota1247]','Powhatan [i-pim][w-pow][a-2295][g-powh1243]','Ojibwa {Severn} [i-ojs][w-ojs][a-2245][g-seve1240]','Ojibwa {Eastern} [i-ojg][w-oji][a-2244][g-east2542]','Naskapi [i-nsk][w-nsk][a-2204][g-nask1242]','Nanticoke [i-nnt][w-nnt][a-2191][g-nant1249]','Mahican [i-mjy][w-][a-2052][g-mahi1248]','Montagnais [i-moe][w-mtg][a-2051][g-mont1268]','Micmac [i-mic][w-mic][a-2001][g-mikm1235]','Illinois [i-mia][w-ill][a-1999][g-miam1252]','Menomini [i-mez][w-men][a-1973][g-meno1252]','Kickapoo [i-kic][w-kic][a-1754][g-kick1244]','Unami [i-del][w-][a-1273][g-comm1246]','Ojibwe {Minnesota} [i-ojw][w-][a-1253][g-west1510]','Chippewa {Red Lake and Pillager} [i-ciw][w-cpw-ojm][a-1252][g-chip1241]','Michif [i-crg][w-mcf][a-1180][g-mich1243]','Cree {Eastern} [i-cre][w-][a-1179][g-cree1272]','Cheyenne [i-chy][w-cyn][a-1142][g-chey1247]','Blackfoot [i-bla][w-bla][a-1036][g-siks1238]','Arapaho [i-arp][w-aho][a-923][g-arap1274]','Algonquin [i-alq][w-alg][a-876][g-algo1255]','Abenaki {Western} [i-abe][w-abw][a-822][g-west2630]','Fox [i-sac][w-fox][a-694][g-mesk1242]','Passamaquoddy [i-pqm][w-psm][a-563][g-male1292]','Ojibwa [i-oji][w-][a-321][g-ojib1241]','Cree {Plains} [i-crk][w-cre][a-59][g-plai1258]')'Algonquian [i-][w-][a-][g-]',('Yurok [i-yur][w-yur][a-428][g-yuro1248]','Wiyot [i-wiy][w-wiy][a-412][g-wiyo1248]')'Ritwan [i-][w-][a-][g-]')'Algic [i-][w-][a-][g-]');
Atakapa	(('Atakapa [i-aqp][w-atk][a-27][g-atak1252]')'Atakapa [i-][w-][a-][g-]');
Caddoan	(('Kitsai [i-kii][w-kit][a-1755][g-kits1249]','Caddo [i-cad][w-cad][a-1108][g-cadd1256]','Arikara [i-ari][w-akr][a-921][g-arik1262]','Wichita [i-wic][w-wic][a-577][g-wich1260]','Pawnee [i-paw][w-pwn][a-331][g-pawn1254]')'Caddoan [i-][w-][a-][g-]');
Chimakuan	(('Chemakum [i-xch][w-cmk][a-758][g-chim1310]','Quileute [i-qui][w-qui][a-338][g-quil1240]')'Chimakuan [i-][w-][a-][g-]');
Chitimacha	(('Chitimacha [i-ctm][w-ctm][a-53][g-chit1248]')'Chitimacha [i-][w-][a-][g-]');
Iroquoian	((('Cherokee [i-chr][w-che][a-1134][g-cher1273]')'Southern Iroquian [i-][w-][a-][g-]',(('Tuscarora [i-tus][w-tus][a-2639][g-tusc1257]')'Tuscarora-Nottoway [i-][w-][a-][g-]',(('Wyandot [i-wya][w-wya][a-2743][g-wyan1247]')'Huron-Wyandot [i-][w-][a-][g-]',('Onondaga [i-ono][w-onn][a-2252][g-onon1246]',('Cayuga [i-cay][w-cyg][a-1118][g-cayu1261]')'Seneca-Cayuga [i-][w-][a-][g-]',('Mohawk [i-moh][w-moh][a-2054][g-moha1258]','Oneida [i-one][w-ond][a-461][g-onei1249]')'Mohawk-Oneida [i-][w-][a-][g-]')'Five Nations [i-][w-][a-][g-]')'Five Nations-Huronian-Susquehannock {Proto-Lake Iroquoian} [i-][w-][a-][g-]')'Northern Iroquoian [i-][w-][a-][g-]','Seneca [i-see][w-snc][a-349][g-sene1264]')'Iroquoian [i-][w-][a-][g-]');
Keresan	(('Keresan {Laguna} [i-kee][w-ksa][a-2958][g-east1472]','Keresan {Santa Ana} [i-kee][w-ksa][a-1727][g-east1472]','Acoma [i-kjq][w-aco][a-10][g-west2632]')'Keresan [i-][w-][a-][g-]');
Kiowa-Tanoan	(('Jemez [i-tow][w-jem][a-2603][g-jeme1245]',('Tiwa {Southern} [i-tix][w-tws][a-2575][g-sout2961]','Tiwa {Northern} [i-twf][w-twn][a-2517][g-nort1550]')'Tiwa [i-][w-][a-][g-]',('Tewa {Arizona} [i-tew][w-tew-trg-tsj][a-2553][g-tewa1260]','Tewa {San Juan Pueblo} [i-tew][w-tew-trg-tsj][a-1419][g-tewa1260]','Tewa {Rio Grande} [i-tew][w-tew-trg-tsj][a-1418][g-tewa1260]')'Tewa [i-][w-][a-][g-]',('Kiowa [i-kio][w-kio][a-132][g-kiow1266]')'Kiowa [i-][w-][a-][g-]')'Kiowa-Tanoan [i-][w-][a-][g-]');
Muskogean	(('Mikasuki [i-mik][w-mki][a-2007][g-mika1239]','Creek {Seminole} [i-mus][w-crk-smn][a-1255][g-cree1270]','Creek [i-mus][w-crk-smn][a-1182][g-cree1270]','Chickasaw [i-cic][w-cck][a-1143][g-chic1270]','Alabama [i-akz][w-abm][a-618][g-alab1237]','Choctaw [i-cho][w-cct][a-54][g-choc1276]','Koasati [i-cku][w-koa][a-135][g-koas1236]')'Muskogean [i-][w-][a-][g-]');
Na-Dene	((('Eyak [i-eya][w-eya][a-76][g-eyak1241]')'Eyak [i-][w-][a-][g-]',('Tlingit [i-tli][w-tli][a-379][g-tlin1245]')'Tlingit [i-][w-][a-][g-]',('Witsuwit`en [i-bcr][w-][a-2993][g-babi1235]','Beaver [i-bea][w-][a-2839][g-beav1236]','Tutchone {Northern} [i-ttm][w-tut][a-2640][g-nort2941]','Tanaina [i-tfn][w-tnj][a-2555][g-tana1289]','Tanacross [i-tcb][w-tnc][a-2531][g-tana1290]','Tanana {Lower} [i-taa][w-tnl][a-2510][g-lowe1425]','Sarcee [i-srs][w-src][a-2477][g-sars1236]','Slavey [i-xsl][w-slv][a-2441][g-sout2959]','Mattole [i-mvb][w-mtl][a-2100][g-matt1238]','Kuskokwim {Upper} [i-kuu][w-uku][a-1838][g-uppe1438]','Kutchin [i-gwi][w-kth][a-1834][g-gwic1235]','Kato [i-ktw][w-kto][a-1831][g-kato1244]','Koyukon [i-koy][w-kyn][a-1798][g-koyu1237]','Degexit`an [i-ing][w-dgx][a-1647][g-dege1248]','Hupa [i-hup][w-hup][a-1621][g-hupa1239]','Chipewyan [i-chp][w-chp][a-1176][g-chip1261]','Carrier [i-crx][w-crq][a-1114][g-carr1249]','Apache {Western} [i-apw][w-apw][a-914][g-west2615]','Apache {Chiricahua} [i-apm][w-apc][a-910][g-mesc1238]','Apache {Jicarilla} [i-apj][w-apj][a-909][g-jica1244]','Ahtna [i-aht][w-aht][a-859][g-ahte1237]','Chasta Costa [i-coq][w-][a-757][g-rogu1236]','Slave [i-scs][w-][a-354][g-nort2942]','Navajo [i-nav][w-nav][a-204][g-nava1243]')'Athabaskan [i-][w-][a-][g-]')'Na-Dene [i-][w-][a-][g-]');
Natchez	(('Natchez [i-ncz][w-nat][a-202][g-natc1249]')'Natchez [i-][w-][a-][g-]');
Salishan	(('Bella Coola [i-blc][w-bco][a-995][g-bell1243]',('Tillamook [i-til][w-til][a-2571][g-till1254]',(('Chehalis {Upper} [i-cjh][w-chl][a-1148][g-uppe1439]')'Inland Tsamosan [i-][w-][a-][g-]')'Tsamosan {Olympic} [i-][w-][a-][g-]',('Twana [i-twa][w-twa][a-2644][g-twan1247]',('Salish {Southern Puget Sound} [i-slh][w-sps][a-2443][g-sout2965]','Lushootseed [i-lut][w-lus][a-1920][g-lush1252]')'Lushootseed [i-][w-][a-][g-]',('Comox [i-coo][w-cmx][a-1171][g-como1259]')'North Georgia [i-][w-][a-][g-]',('Halkomelem [i-hur][w-hli-hlu-msq][a-1623][g-halk1245]',('Salish {Straits} [i-str][w-lum-sch-sgs-soo-sss-sst][a-2491][g-stra1244]','Sooke [i-str][w-lum-sch-sgs-soo-sss-sst][a-1412][g-stra1244]','Songish [i-str][w-lum-sch-sgs-soo-sss-sst][a-1411][g-stra1244]','Salish {Samish Straits} [i-str][w-lum-sch-sgs-soo-sss-sst][a-1410][g-stra1244]','Saanich [i-str][w-lum-sch-sgs-soo-sss-sst][a-1409][g-stra1244]','Lummi [i-str][w-lum-sch-sgs-soo-sss-sst][a-1408][g-stra1244]','Clallam [i-clm][w-cla][a-1162][g-clal1241]')'Straits Salish {Lkungen} [i-][w-][a-][g-]','Squamish [i-squ][w-squ][a-357][g-squa1248]')'South Georgia [i-][w-][a-][g-]')'Central Coast Salish [i-][w-][a-][g-]')'Coast Salish [i-][w-][a-][g-]',(('Spokane [i-spo][w-spo][a-2466][g-spok1245]','Okanagan [i-oka][w-oka][a-2246][g-okan1243]','Kalispel [i-fla][w-kls][a-1490][g-kali1308]','Coeur d`Alene [i-crd][w-coe][a-1178][g-coeu1236]','Columbia-Wenatchi [i-col][w-cwe][a-1170][g-colu1241]')'Southern Interior Salish [i-][w-][a-][g-]',('Thompson [i-thp][w-tho][a-2564][g-thom1243]','Lillooet [i-lil][w-lil][a-1887][g-lill1248]','Shuswap [i-shs][w-shu][a-353][g-shus1248]')'Northern Interior Salish [i-][w-][a-][g-]')'Interior Salish [i-][w-][a-][g-]')'Salishan [i-][w-][a-][g-]');
Siouan	(('Assiniboine [i-asb][w-][a-2897][g-assi1247]','Tutelo [i-tta][w-tte][a-2626][g-tute1247]','Stoney [i-sto][w-sto][a-2490][g-ston1242]','Osage [i-osa][w-osa][a-2259][g-osag1243]','Omaha [i-oma][w-omh][a-2248][g-omah1247]','Mandan [i-mhq][w-mdn][a-1993][g-mand1446]','Oto [i-iow][w-oto][a-1649][g-iowa1245]','Hidatsa [i-hid][w-hid][a-1606][g-hida1246]','Dakota [i-dak][w-dak][a-1316][g-dako1258]','Crow [i-cro][w-cro][a-1184][g-crow1244]','Catawba [i-chc][w-ctw][a-1135][g-cata1286]','Biloxi [i-bll][w-blx][a-1038][g-bilo1248]','Hocak [i-win][w-wnb][a-479][g-hoch1243]','Lakhota [i-lkt][w-lkt][a-156][g-lako1247]')'Siouan [i-][w-][a-][g-]');
Tonkawa	(('Tonkawa [i-tqw][w-ton][a-382][g-tonk1249]')'Tonkawa [i-][w-][a-][g-]');
Tsimshianic	(('Nisgha [i-ncg][w-nsg][a-654][g-nisg1240]','Tsimshian {Coast} [i-tsi][w-tsi][a-522][g-nucl1649]','Gitksan [i-git][w-git][a-88][g-gitx1241]')'Tsimshianic [i-][w-][a-][g-]');
Tunica	(('Tunica [i-tun][w-tun][a-386][g-tuni1252]')'Tunica [i-][w-][a-][g-]');
Alsean	(('Alsea [i-aes][w-als][a-19][g-alse1251]')'Alsean [i-][w-][a-][g-]');
Uto-Aztecan	((('Tubar [i-tbu][w-tub][a-2527][g-tuba1279]',('Nahuatl {Ometepec} [i-nht][w-][a-2940][g-omet1237]','Nahuatl {Pajapan} [i-nhp][w-npa][a-2167][g-isth1241]','Nahuatl {Central} [i-nhn][w-nhc][a-2166][g-cent2132]','Nahuatl {Michoacan} [i-ncl][w-nhm][a-2145][g-mich1245]','Nahuatl {North Puebla} [i-ncj][w-nhn][a-2144][g-nort2957]','Nahuatl {Mecayapan Isthmus} [i-nhx][w-nmi][a-2135][g-isth1242]','Nahuatl {Huasteca} [i-nhw][w-][a-2130][g-west2624]','Nahuatl {Xalitla} [i-ngu][w-nhx][a-2129][g-guer1241]','Nahuatl {Sierra de Zacapoaxtla} [i-azz][w-nsz][a-956][g-high1278]','Nahuatl {Pochutla} [i-xpo][w-][a-794][g-poch1244]','Nahuatl {Milpa Alta} [i-][w-][a-793][g-more1259]','Nahuatl {Huauchinango} [i-nhi][w-][a-792][g-zaca1241]','Nahuatl {Tetelcingo} [i-nhg][w-nht][a-572][g-tete1251]','Pipil [i-ppl][w-pip][a-332][g-pipi1250]')'Aztecan [i-][w-][a-][g-]',('River Warihio [i-var][w-grj][a-2939][g-huar1255]','Guarijio [i-var][w-grj][a-2685][g-huar1255]','Tepecano [i-tep][w-tpc][a-2549][g-tepe1278]','Tepehuan {Southeastern} [i-stp][w-tps][a-2544][g-sout2976]','Tarahumara {Central} [i-tar][w-tce][a-2519][g-cent2131]','Tarahumara {Western} [i-tac][w-twe][a-2512][g-lowl1265]','Pima Bajo [i-pia][w-pba][a-2291][g-pima1248]','Tepehuan {Northern} [i-ntp][w-tpn][a-2214][g-nort2959]','Mayo [i-mfy][w-myo][a-1933][g-mayo1264]','Huichol [i-hch][w-hui][a-1600][g-huic1243]','Nevome [i-ood][w-nev-ood][a-1383][g-toho1245]','Eudeve [i-opt][w-eud][a-765][g-opat1246]','Raramuri [i-tac][w-twe][a-689][g-lowl1265]','Cora [i-crn][w-cor][a-688][g-elna1235]','Yaqui [i-yaq][w-yaq][a-503][g-yaqu1251]','O`odham [i-ood][w-nev-ood][a-328][g-toho1245]')'Sonoran [i-][w-][a-][g-]')'Southern Uto-Aztecan [i-][w-][a-][g-]',('Tubatulabal [i-tub][w-tbb][a-2633][g-tuba1278]','Hopi [i-hop][w-hop][a-687][g-hopi1249]','Comanche [i-com][w-cmn][a-523][g-coma1245]','Cahuilla [i-chl][w-cah][a-520][g-cahu1264]','Paiute {Southern} [i-ute][w-cmh-put-ute][a-441][g-utes1238]',('Shoshoni [i-par][w-tsh][a-2271][g-pana1305]','Mono {USA} [i-mnr][w-mno][a-2057][g-mono1275]','Kawaiisu [i-xaw][w-kws][a-1703][g-kawa1283]','Chemehuevi [i-ute][w-cmh-put-ute][a-1441][g-utes1238]','Shoshone {Wind River} [i-shh][w-sho-swr][a-1403][g-shos1248]','Paiute {Northern} [i-pao][w-pno][a-718][g-nort2954]','Tumpisa Shoshone [i-shh][w-sho-swr][a-385][g-shos1248]')'Numic [i-][w-][a-][g-]',('Serrano [i-ser][w-srr][a-2414][g-serr1255]','Cupeno [i-cup][w-cup][a-1203][g-cupe1243]','Luiseno [i-lui][w-lui][a-166][g-luis1253]')'Takic [i-][w-][a-][g-]')'Northern Uto-Aztecan [i-][w-][a-][g-]')'Uto-Aztecan [i-][w-][a-][g-]');
Wakashan	(('Makah [i-myh][w-mak][a-555][g-maka1318]',('Nitinaht [i-dtd][w-][a-1374][g-diti1235]','Kyuquot [i-nuk][w-][a-1373][g-nuuc1236]','Nuuchahnulth [i-nuk][w-][a-317][g-nuuc1236]')'Nootkan {South Wakashan} [i-][w-][a-][g-]',('Heiltsuk [i-hei][w-hei][a-1602][g-heil1246]','Haisla [i-has][w-hsl][a-1596][g-hais1244]','Kwakwala [i-kwk][w-kwk][a-152][g-kwak1269]')'Kwakiutlan {North Wakashan} [i-][w-][a-][g-]')'Wakashan [i-][w-][a-][g-]');
Yuchi	(('Yuchi [i-yuc][w-yuc][a-422][g-yuch1247]')'Yuchi [i-][w-][a-][g-]');
Yuki-Wappo	(('Yuki [i-yuk][w-yki][a-2792][g-yuki1243]','Wappo [i-wao][w-wap][a-398][g-wapp1239]')'Yuki-Wappo [i-][w-][a-][g-]');
Otomanguean	(('Amuzgo [i-amu][w-amz][a-890][g-guer1243]',('Popoloca {San Juan Atzingo} [i-poe][w-psj][a-2320][g-sanj1285]','Popoloca {San Vicente Coyotepec} [i-pbf][w-psv][a-2274][g-coyo1236]','Popoloca {Metzontla} [i-pbe][w-pop][a-2273][g-mezo1235]','Mazatec {Chiquihuitlan} [i-maq][w-mzc][a-1930][g-chiq1250]','Ixcatec [i-ixc][w-ixc][a-1664][g-ixca1245]','Chocho [i-coz][w-cch][a-1174][g-choc1279]','Mazateco {Huautla} [i-mau][w-mzh][a-697][g-huau1238]')'Popolocan [i-][w-][a-][g-]',('Chinantec {San Felipe Usila} [i-cuc][w-csf][a-1204][g-usil1237]','Chinantec {Sochiapan} [i-cso][w-csc][a-1192][g-soch1239]','Chinantec {Palantla} [i-cpa][w-cpl][a-1175][g-pala1351]','Chinantec {Tepetotutla} [i-cnt][w-cte][a-1166][g-tepe1279]','Chinantec {Quiotepec} [i-chq][w-chq][a-1138][g-quio1240]','Chinantec {Comaltepec} [i-cco][w-ccm][a-1128][g-coma1246]','Chinantec {Lealao} [i-cle][w-cle][a-551][g-leal1235]')'Chinantecan [i-][w-][a-][g-]',('Otomi {Estado de Mexico} [i-ots][w-][a-3099][g-esta1236]','Otomi {Tilapa} [i-otl][w-][a-3028][g-tila1239]','Otomi {Santiago Mexquititlan} [i-otq][w-osm][a-2262][g-quer1236]','Otomi {Sierra} [i-otm][w-ots][a-2261][g-east2556]','Otomi {Ixtenco} [i-otz][w-oix][a-2260][g-ixte1237]','Ocuilteco [i-ocu][w-ocu][a-2241][g-atzi1235]','Mazahua [i-maz][w-][a-1934][g-cent2144]','Otomi {Mezquital} [i-ote][w-otm][a-498][g-mezq1235]')'Otomian [i-][w-][a-][g-]',('Zapotec {San Baltazar Loxicha} [i-zpx][w-][a-3049][g-sanb1241]','Chatino {Zenzontepec} [i-czn][w-][a-3022][g-zenz1235]','Zapotec {Texmelucan} [i-zpz][w-zte][a-2821][g-texm1235]','Zapotec {Zoogocho} [i-zpq][w-zzo][a-2820][g-zoog1238]','Zapotec {Mixtepec} [i-zpm][w-zam][a-2819][g-mixt1426]','Zapotec {Quiegolani} [i-zpi][w-zaq][a-2818][g-sant1451]','Zapotec {Ixtlan} [i-zpd][w-zpi][a-2817][g-sout3005]','Zapotec {Mitla} [i-zaw][w-zap][a-2804][g-mitl1236]','Zapotec {Yatzachi} [i-zav][w-zya][a-2803][g-yatz1235]','Zapotec {San Lucas Quiavini} [i-zab][w-zsq][a-2801][g-sanj1284]','Zapotec {Juarez} [i-zaa][w-zaj][a-2800][g-sier1250]','Chatino {Yaitepec} [i-ctp][w-cso-cya][a-1258][g-west2644]','Chatino {Nopala} [i-cya][w-cht][a-1206][g-nopa1235]','Chatino {Sierra Occidental} [i-ctp][w-cso-cya][a-1198][g-west2644]','Chatino {Tataltepec} [i-cta][w-ctt][a-1194][g-tata1258]','Zapotec {Isthmus} [i-zai][w-zai][a-459][g-isth1244]')'Zapotecan [i-][w-][a-][g-]',('Trique {Chicahuaxtla} [i-trs][w-trc][a-2612][g-chic1273]','Trique {Copala} [i-trc][w-tri][a-2607][g-copa1237]','Mixtec {Jamiltepec} [i-mxt][w-mja][a-2111][g-jami1235]','Mixtec {Yosondua} [i-mpm][w-mxy][a-2066][g-yoso1239]','Mixtec {Silacayoapan} [i-mks][w-mxs][a-2025][g-sila1250]','Mixtec {San Juan Colorado} [i-mjc][w-mjc][a-2013][g-sanj1281]','Mixtec {Coatzospan} [i-miz][w-mxz][a-2012][g-coat1241]','Mixtec {Ayutla} [i-miy][w-mxt][a-2011][g-ayut1236]','Mixtec {Jicaltepec} [i-mio][w-mxj][a-2010][g-pino1237]','Mixtec {Alacatlatzala} [i-mim][w-mxl][a-2009][g-alac1244]','Mixtec {Penoles} [i-mil][w-mxp][a-2008][g-peno1244]','Mixtec {Chayuco} [i-mih][w-mxu][a-2006][g-chay1249]','Mixtec {San Miguel el Grande} [i-mig][w-mxc-mxg-mxm][a-2005][g-sanm1295]','Mixtec {Ocotepec} [i-mie][w-mxo][a-2003][g-ocot1243]','Mixtec {Atatlahuca} [i-mib][w-mxa][a-2000][g-atat1238]','Mixtec {Molinos} [i-mig][w-mxc-mxg-mxm][a-1355][g-sanm1295]','Cuicatec [i-cut][w-][a-1205][g-teut1235]','Mixtec {Chalcatongo} [i-mig][w-mxc-mxg-mxm][a-186][g-sanm1295]')'Mixtecan [i-][w-][a-][g-]',('Pame [i-pbs][w-pam][a-2277][g-cent2145]','Chichimec [i-pei][w-cjo][a-50][g-chic1272]')'Pamean [i-][w-][a-][g-]')'Otomanguean [i-][w-][a-][g-]');
Tequistlatecan	(('Chontal {Huamelultec Oaxaca} [i-clo][w-chx][a-1163][g-lowl1260]','Chontal {Highland} [i-chd][w-cho][a-55][g-high1242]')'Tequistlatecan [i-][w-][a-][g-]');
Huave	(('Huave {San Francisco del Mar} [i-hue][w-][a-2994][g-sanf1258]','Huave {San Mateo del Mar} [i-huv][w-hve][a-1625][g-sanm1287]','Huave [i-hve][w-][a-106][g-sand1278]')'Huave [i-][w-][a-][g-]');
